Ambience	p.Denominator	Overall court grouping	p.Find Your Court	p.Select A Measure	ReadMe	Lat	Location	Lon	NTA Code	Name	Neighborhood	Notable?	Number of Records	Overall	Quality	Borough	Size	Surface	Table Name	URL v2	URL
15	100	Mediocre	2	56	Hi	40.646201	E 100th St. and Glenwood Rd.	-73.899117	BK50	100% Playground	Canarsie	N	1	56	12	Brooklyn	14	15	Brooklyn	https://i.imgsafe.org/da/dac02de540.jpeg	https://i.imgur.com/Lf9pHxU.jpg
16	100	Mediocre	2	51	Hi	40.691646	59 Atlantic Ave.	-73.998544	BK09	Adam Yauch Park	Brooklyn Heights	N	1	51	19	Brooklyn	7	9	Brooklyn	https://i.imgsafe.org/da/dac03397f0.jpeg	https://i.imgur.com/j4rCQGZ.jpg
16	100	Poor	2	47	Hi	40.645963	123 Albemarle Rd.	-73.980744	BK41	Albemarle Playground	Ocean Parkway	N	1	47	11	Brooklyn	7	13	Brooklyn	https://i.imgsafe.org/da/dac034ac77.jpeg	https://i.imgur.com/AkqgE9t.jpg
20	100	Mediocre	2	64	Hi	40.728916	126 Franklin St.	-73.95787	BK76	American Playground	Greenpoint	N	1	64	13	Brooklyn	15	16	Brooklyn	https://i.imgsafe.org/da/dac0399ca4.jpeg	https://i.imgur.com/TUvJenl.jpg
9	100	Mediocre	2	58	Hi	40.62307	2525 Nostrand Ave.	-73.946528	BK43	Andries Playground	Midwood	N	1	58	15	Brooklyn	25	9	Brooklyn	https://i.imgsafe.org/da/dac03cd3dd.jpeg	https://i.imgur.com/OVwZ6Hn.jpg
13	100	Poor	2	42	Hi	40.690345	646 Lafayette Ave.	-73.94943	BK35	Banneker Playground	Bedford-Stuyvesant	N	1	42	9	Brooklyn	10	10	Brooklyn	https://i.imgsafe.org/da/dac04024bd.jpeg	https://i.imgur.com/UgepFKz.jpg
9	100	Poor	2	41	Hi	40.701013	52 Bartlett St.	-73.945919	BK72	Bartlett Playground	Williamsburg	N	1	41	8	Brooklyn	13	11	Brooklyn	https://i.imgsafe.org/da/dac043e9cb.jpeg	https://i.imgur.com/FrIM9Qa.jpg
11	100	Poor	2	28	Hi	40.602613	17th Ave. and 17th Ct.	-74.010508	BK27	Bath Beach Park	Bath Beach	N	1	28	4	Brooklyn	10	3	Brooklyn	https://i.imgsafe.org/da/dac04a3091.jpeg	https://i.imgur.com/KyZoYS5.jpg
1	100	Poor	2	17	Hi	40.594448	221 Bay 37th St.	-73.993422	BK27	Bath Playground	Bath Beach	N	1	17	4	Brooklyn	7	5	Brooklyn	https://i.imgsafe.org/da/dac045da6f.jpeg	https://i.imgur.com/vLdwMJP.jpg
14	100	Mediocre	2	66	Hi	40.634739	9910 Seaview Ave.	-73.886999	BK50	Bayview Playground	Canarsie	N	1	66	12	Brooklyn	21	19	Brooklyn	https://i.imgsafe.org/da/dac04e14f6.jpeg	https://i.imgur.com/62mxTxF.jpg
13	100	Mediocre	2	51	Hi	40.708331	449 Bedford Ave	-73.963652	BK72	Bedford Playground	Williamsburg	N	1	51	15	Brooklyn	14	9	Brooklyn	https://i.imgsafe.org/da/dac04e14f6.jpeg	https://i.imgur.com/XnhqAf9.jpg
12	100	Mediocre	2	55	Hi	40.675498	265 Forbell St. (PS 214)	-73.86261	BK85	Belmont Playground	East New York	N	1	55	14	Brooklyn	14	15	Brooklyn	https://i.imgsafe.org/da/dac05731ff.jpeg	https://i.imgur.com/0QkAhQG.jpg
8	100	Poor	2	32	Hi	40.602519	1939 Bath Ave., next to PS 200	-74.002491	BK27	Benson Playground	Bath Beach	N	1	32	7	Brooklyn	13	4	Brooklyn	https://i.imgsafe.org/da/dac057acee.jpeg	https://i.imgur.com/PrRzqca.jpg
20	100	Mediocre	2	57	Hi	40.597786	8841 21st Ave.	-74.000978	BK27	Bensonhurst Park	Bath Beach	N	1	57	9	Brooklyn	20	8	Brooklyn	https://i.imgsafe.org/da/dac05d3277.jpeg	https://i.imgur.com/X2Sex6d.jpg
13	100	Mediocre	2	50	Hi	40.622508	7101 Avenue T	-73.909595	BK45	Bergen Beach Playground	Bergen Beach	N	1	50	15	Brooklyn	7	15	Brooklyn	https://i.imgsafe.org/da/dac05d8e8f.jpeg	https://i.imgur.com/6mv7rO4.jpg
19	100	Mediocre	2	51	Hi	40.712733	106 S. 3rd St.	-73.963595	BK72	Berry Playground	Williamsburg	N	1	51	16	Brooklyn	7	9	Brooklyn	https://i.imgsafe.org/da/dac0638f8e.jpeg	https://i.imgur.com/w9uOQNi.jpg
8	100	Poor	2	48	Hi	40.664438	662 Thomas S Boyland St	-73.911951	BK81	Betsy Head Park	Brownsville	N	1	48	11	Brooklyn	12	17	Brooklyn	https://i.imgsafe.org/da/dac0645622.jpeg	https://i.imgur.com/4AeNKA3.jpg
6	100	Poor	2	45	Hi	40.635486	932 E 81st St.	-73.91161	BK50	Bildersee Playground	Canarsie	N	1	45	12	Brooklyn	21	6	Brooklyn	https://i.imgsafe.org/da/dac06c5dbd.jpeg	https://i.imgur.com/SVIukhq.jpg
14	100	Mediocre	2	57	Hi	40.684856	364 Warren St	-73.990422	BK37	Boerum Park	Park Slope	N	1	57	20	Brooklyn	7	16	Brooklyn	https://i.imgsafe.org/da/dac06a6359.jpeg	https://i.imgur.com/IPPOnop.jpg
14	100	Mediocre	2	67	Hi	40.680258	Ralph Ave. and Marion St.	-73.922707	BK35	Brevoort Playground	Bedford-Stuyvesant	N	1	67	12	Brooklyn	21	20	Brooklyn	https://i.imgsafe.org/da/dac07431f7.jpeg	https://i.imgur.com/UoDQuS5.jpg
5	100	Poor	2	39	Hi	40.700423	Sands St. and Jay St.	-73.986027	BK38	Bridge Park	Dumbo	N	1	39	9	Brooklyn	21	4	Brooklyn	https://i.imgsafe.org/da/dac073ada5.jpeg	https://i.imgur.com/6qQ8tZV.jpg
19	100	Mediocre	2	57	Hi	40.575184	126 Brightwater Ct.	-73.965617	BK19	Brighton Playground	Brighton Beach	N	1	57	5	Brooklyn	21	12	Brooklyn	https://i.imgsafe.org/da/dac07a1472.jpeg	https://i.imgur.com/MkTQ0mY.jpg
15	100	Mediocre	2	58	Hi	40.6424	4201 10th Ave.	-73.994681	BK88	Brizzi Playground	Borough Park	N	1	58	12	Brooklyn	19	12	Brooklyn	https://i.imgsafe.org/da/dac013fa32.jpeg	https://i.imgur.com/JMfKVL5.jpg
25	100	Very Good	2	100	Hi	40.699426	Brooklyn Bridge Park, Pier 2	-73.998668	BK09	Brooklyn Bridge Park (Pier 2)	Brooklyn Heights	Y	1	100	25	Brooklyn	25	25	Brooklyn	https://i.imgsafe.org/da/dac013f57e.jpeg	https://i.imgur.com/7WxnJ1b.jpg
