Average Income - Female (copy)	Average Income - Female	Average Income - Male	Difference	1	% of Total	Difference in Income	Female to Male Income	Number of Records	Occupation
36359	36359	40954	4595	1	89%	4595	0.887800947	1	Abattoir process worker; Meat process worker; Meatworker – meatworker’s labourer
40926	40926	44077	3151	1	93%	3151	0.928511469	1	Aboriginal and Torres Strait Islander education worker
43545	43545	47833	4288	1	91%	4288	0.910354776	1	Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker
71552	71552	105107	33555	1	68%	33555	0.680753898	1	Accountant; Bank accountant; Chartered accountant; Financial analyst
77421	77421	115908	38487	1	67%	38487	0.667952169	1	Accounting practice manager; Architectural practice manager; Legal practice manager; Manager – other practice; Veterinary practice manager
47153	47153	64667	17514	1	73%	17514	0.729166345	1	Accounts clerk; Finance officer
34736	34736	36624	1888	1	95%	1888	0.948449104	1	Actor
51681	51681	62893	11212	1	82%	11212	0.821728968	1	Actuarial clerk; Statistical clerk Clerical and office
136819	136819	196144	59325	1	70%	59325	0.697543641	1	Actuary
35944	35944	43983	8039	1	82%	8039	0.817224837	1	Acupuncturist
43604	43604	45784	2180	1	95%	2180	0.952385113	1	Administration assistant; Office worker
47529	47529	58373	10844	1	81%	10844	0.814229181	1	Administrative service officer – levels 1–2; Public servant – administrative service officer – levels 1–2
54990	54990	65541	10551	1	84%	10551	0.839016799	1	Administrative service officer – levels 3–4; Public servant – administrative service officer – levels 3–4
64863	64863	85567	20704	1	76%	20704	0.758037561	1	Administrative service officer – levels 5–6; Program or project administrator; Public servant – administrative service officer – levels 5–6
42435	42435	47179	4744	1	90%	4744	0.899446788	1	Admissions clerk
70895	70895	104132	33237	1	68%	33237	0.680818576	1	Advertising director; Advertising manager
58258	58258	73201	14943	1	80%	14943	0.795863444	1	Advertising specialist; Media planner
31358	31358	35808	4450	1	88%	4450	0.875726095	1	Aerobics instructor; Fitness instructor; Gym instructor
75029	75029	99207	24178	1	76%	24178	0.756287359	1	Aeronautical engineer
73412	73412	133526	60114	1	55%	60114	0.549795545	1	Aeroplane pilot
32044	32044	37642	5598	1	85%	5598	0.851283141	1	Aged or disabled carer; Home companion; Respite carer
44876	44876	53365	8489	1	84%	8489	0.840925700	1	Agent – travel; Travel agent or consultant
60195	60195	76288	16093	1	79%	16093	0.789049392	1	Agricultural engineer
52744	52744	65808	13064	1	80%	13064	0.801483102	1	Agricultural field officer
65807	65807	86518	20711	1	76%	20711	0.760616288	1	Agricultural scientist; Agronomist
41878	41878	56984	15106	1	73%	15106	0.734908044	1	Agricultural technician
68069	68069	68071	2	1	100%	2	0.999970619	1	Air conditioning and mechanical services plumber
47098	47098	68932	21834	1	68%	21834	0.683253061	1	Air conditioning mechanic; Refrigeration mechanic
56140	56140	62162	6022	1	90%	6022	0.903124095	1	Air force – other ranks; Air force junior non-commissioned officer; Army – other ranks; Army junior non-commissioned officer; Defence force personnel – junior non-commissioned officer; Defence force p
70650	70650	78650	8000	1	90%	8000	0.898283535	1	Air force junior officer; Army junior officer; Defence force personnel – junior officer; Navy junior officer; RAAF junior officer
78203	78203	89674	11471	1	87%	11471	0.872081094	1	Air force senior non-commissioned officer; Army senior non-commissioner officer; Defrence force personnel – senior non-commissioned officer; Navy senior non-commissioned officer; RAAF senior non-commi
99151	99151	118157	19006	1	84%	19006	0.839146221	1	Air force senior officer; Army senior officer; Defence force personnel – senior officer; Navy senior officer; RAAF senior officer
63419	63419	100964	37545	1	63%	37545	0.628134781	1	Air safety inspector or investigator; Aircraft navigator; Airways surveyor; Airworthiness surveyor; Aviation safety inspector; Flight engineer
100200	100200	141581	41381	1	71%	41381	0.707722081	1	Air traffic controller; Flight service officer – air traffic control
60326	60326	83062	22736	1	73%	22736	0.726276757	1	Aircraft draftsperson; Biomedical engineering technician or associate; Chemical engineering technician; Mining draftsperson; Shipbuilding draftsperson
64274	64274	96173	31899	1	67%	31899	0.668316471	1	Aircraft maintenance engineer – avionics
66357	66357	93837	27480	1	71%	27480	0.707151763	1	Aircraft maintenance engineer – mechanical
61406	61406	82412	21006	1	75%	21006	0.745109935	1	Aircraft maintenance engineer – structures
77366	77366	74664	-2702	1	104%	-2702	1.036188792	1	Aircraft refueller
48511	48511	54497	5986	1	89%	5986	0.890159091	1	Airline employee – baggage handling or ground crew; Baggage handler – airline; Loadmaster – aircraft
39847	39847	47823	7976	1	83%	7976	0.833218326	1	Airline employee – check in or ticketing; Call centre operator – bookings; Cinema attendant – selling tickets; Contact centre operator – bookings; Railway employee – ticket seller; Reservations clerk;
50638	50638	63535	12897	1	80%	12897	0.797009522	1	Airline employee – load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher
49474	49474	65113	15639	1	76%	15639	0.759817548	1	Airline steward; Flight attendant or steward
49801	49801	66934	17133	1	74%	17133	0.744031434	1	Alumina refinery operator; Arc welder; Die setter – metals; Furnace operator – metals; Key cutter; Kiln operator – metals; Knife sharpener; Metal press operator; Metal sprayer
52933	52933	76755	23822	1	69%	23822	0.689635854	1	Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor
63265	63265	79711	16446	1	79%	16446	0.793679668	1	Ambulance officer; Paramedic
43778	43778	50039	6261	1	87%	6261	0.874877595	1	Amusement centre manager
49195	49195	66691	17496	1	74%	17496	0.737655756	1	Amusement park attendant – rides; Asbestos removalist; Fabricator – door or window – wood
56084	56084	66535	10451	1	84%	10451	0.842924776	1	Anaesthetic technician
243582	243582	370492	126910	1	66%	126910	0.657455492	1	Anaesthetist
85169	85169	99377	14208	1	86%	14208	0.857029292	1	Analyst programmer
31904	31904	41877	9973	1	76%	9973	0.761850180	1	Animal attendant; Animal trainer (not dog or horse)
57658	57658	75167	17509	1	77%	17509	0.767065335	1	Announcer – radio; Disc jockey – other than nightclub; Newsreader – radio; Radio announcer; Radio presenter
39309	39309	41229	1920	1	95%	1920	0.953430838	1	Antique dealer
35054	35054	40320	5266	1	87%	5266	0.869394841	1	Apiarist
38096	38096	42189	4093	1	90%	4093	0.902984190	1	Apparel cutter
80257	80257	93411	13154	1	86%	13154	0.859181467	1	Applications programmer; Computer programmer; Developer programmer; Systems programmer – computing
29603	29603	33811	4208	1	88%	4208	0.875543462	1	Apprentice or trainee – agricultural technician
31574	31574	35643	4069	1	89%	4069	0.885840137	1	Apprentice or trainee – airconditioning and refrigeration mechanic
31379	31379	39995	8616	1	78%	8616	0.784573072	1	Apprentice or trainee – aircraft maintenance engineer
30942	30942	31701	759	1	98%	759	0.976057538	1	Apprentice or trainee – animal attendant
54397	54397	35143	-19254	1	155%	-19254	1.547875822	1	Apprentice or trainee – autoglazier
30108	30108	32491	2383	1	93%	2383	0.926656613	1	Apprentice or trainee – automotive Apprentice or trainee – other
42228	42228	37897	-4331	1	111%	-4331	1.114283453	1	Apprentice or trainee – automotive electrician
29842	29842	31585	1743	1	94%	1743	0.944815577	1	Apprentice or trainee – automotive mechanic
28219	28219	28157	-62	1	100%	-62	1.002201939	1	Apprentice or trainee – baker or pastrycook
25066	25066	20771	-4295	1	121%	-4295	1.206778682	1	Apprentice or trainee – beauty therapist
26508	26508	31113	4605	1	85%	4605	0.851991129	1	Apprentice or trainee – boat builder or shipwright
34039	34039	25347	-8692	1	134%	-8692	1.342920267	1	Apprentice or trainee – bricklayer
24169	24169	29821	5652	1	81%	5652	0.810469132	1	Apprentice or trainee – business services
31723	31723	29995	-1728	1	106%	-1728	1.057609602	1	Apprentice or trainee – butcher
35141	35141	29980	-5161	1	117%	-5161	1.172148099	1	Apprentice or trainee – canvas and leather tradesperson
28444	28444	32369	3925	1	88%	3925	0.878742006	1	Apprentice or trainee – care and community services
26523	26523	29252	2729	1	91%	2729	0.906707234	1	Apprentice or trainee – carpenter and joiner
27564	27564	27290	-274	1	101%	-274	1.010040308	1	Apprentice or trainee – chef
25116	25116	28098	2982	1	89%	2982	0.893871450	1	Apprentice or trainee – cleaning services
34880	34880	33933	-947	1	103%	-947	1.027907936	1	Apprentice or trainee – clerical services
26344	26344	24092	-2252	1	109%	-2252	1.093475012	1	Apprentice or trainee – clothing tradesperson
24967	24967	26118	1151	1	96%	1151	0.955930776	1	Apprentice or trainee – cook
39883	39883	44373	4490	1	90%	4490	0.898812341	1	Apprentice or trainee – deck or fishing hand
47354	47354	40108	-7246	1	118%	-7246	1.180662212	1	Apprentice or trainee – electrician
38909	38909	40504	1595	1	96%	1595	0.960621173	1	Apprentice or trainee – electronics tradesperson
21565	21565	26151	4586	1	82%	4586	0.824633857	1	Apprentice or trainee – farm or garden worker
33245	33245	40439	7194	1	82%	7194	0.822102426	1	Apprentice or trainee – financial services
		28801		1				1	Apprentice or trainee – floor finisher
22983	22983	18100	-4883	1	127%	-4883	1.269779006	1	Apprentice or trainee – florist
24077	24077	28770	4693	1	84%	4693	0.836878693	1	Apprentice or trainee – food, drink or meat processor
30065	30065	32503	2438	1	92%	2438	0.924991539	1	Apprentice or trainee – forestry
28766	28766	26744	-2022	1	108%	-2022	1.075605743	1	Apprentice or trainee – gardener
29167	29167	27822	-1345	1	105%	-1345	1.048343038	1	Apprentice or trainee – greenkeeper
23326	23326	23209	-117	1	101%	-117	1.005041148	1	Apprentice or trainee – hair dresser
30753	30753	40235	9482	1	76%	9482	0.764334535	1	Apprentice or trainee – health and welfare support services
23445	23445	24204	759	1	97%	759	0.968641547	1	Apprentice or trainee – hospitality
40844	40844	34692	-6152	1	118%	-6152	1.177331950	1	Apprentice or trainee – information technology technician
67832	67832	76627	8795	1	89%	8795	0.885223224	1	Apprentice or trainee – insurance claims investigator
31964	31964	32062	98	1	100%	98	0.996943422	1	Apprentice or trainee – jeweller
40421	40421	54834	14413	1	74%	14413	0.737152132	1	Apprentice or trainee – jockey
40586	40586	46643	6057	1	87%	6057	0.870141286	1	Apprentice or trainee – justice and legal services
43460	43460	42892	-568	1	101%	-568	1.013242563	1	Apprentice or trainee – mechanical trades engineer
33815	33815	41031	7216	1	82%	7216	0.824132973	1	Apprentice or trainee – medical technician
38498	38498	35829	-2669	1	107%	-2669	1.074492729	1	Apprentice or trainee – metal fabrication engineer
59872	59872	62935	3063	1	95%	3063	0.951330738	1	Apprentice or trainee – miner
22943	22943	25996	3053	1	88%	3053	0.882558855	1	Apprentice or trainee – nurseryperson
26159	26159	25328	-831	1	103%	-831	1.032809539	1	Apprentice or trainee – painter
32745	32745	30976	-1769	1	106%	-1769	1.057108729	1	Apprentice or trainee – performing arts technician
32934	32934	27431	-5503	1	120%	-5503	1.200612446	1	Apprentice or trainee – plasterer
28010	28010	31680	3670	1	88%	3670	0.884154040	1	Apprentice or trainee – plumber
44375	44375	64808	20433	1	68%	20433	0.684714850	1	Apprentice or trainee – power generation plant operator
32519	32519	38199	5680	1	85%	5680	0.851305008	1	Apprentice or trainee – printer or graphic artist
58513	58513	113971	55458	1	51%	55458	0.513402532	1	Apprentice or trainee – real estate representative
38809	38809	54042	15233	1	72%	15233	0.718126642	1	Apprentice or trainee – sales assistant (retail)
53118	53118	73496	20378	1	72%	20378	0.722733210	1	Apprentice or trainee – sales representative (wholesale)
57531	57531	55624	-1907	1	103%	-1907	1.034283762	1	Apprentice or trainee – security and correctional services
19671	19671	27980	8309	1	70%	8309	0.703037884	1	Apprentice or trainee – shearer
32736	32736	30528	-2208	1	107%	-2208	1.072327044	1	Apprentice or trainee – signwriter
17983	17983	19586	1603	1	92%	1603	0.918155826	1	Apprentice or trainee – sport and recreation
21810	21810	22520	710	1	97%	710	0.968472469	1	Apprentice or trainee – stablehand
25475	25475	28950	3475	1	88%	3475	0.879965458	1	Apprentice or trainee – storeperson
33653	33653	41212	7559	1	82%	7559	0.816582549	1	Apprentice or trainee – telecommunications technical specialist
30132	30132	37543	7411	1	80%	7411	0.802599686	1	Apprentice or trainee – telecommunications tradesperson
19542	19542	24995	5453	1	78%	5453	0.781836367	1	Apprentice or trainee – tiler
33620	33620	32018	-1602	1	105%	-1602	1.050034356	1	Apprentice or trainee – tourism and travel adviser
41380	41380	48629	7249	1	85%	7249	0.850932571	1	Apprentice or trainee – transport and distribution driver
30746	30746	27482	-3264	1	112%	-3264	1.118768649	1	Apprentice or trainee – upholsterer
29161	29161	29622	461	1	98%	461	0.984437243	1	Apprentice or trainee – veterinary nurse
		36213		1				1	Apprentice or trainee – watch and clock maker
25274	25274	28636	3362	1	88%	3362	0.882595335	1	Apprentice or trainee – wood tradesperson
32020	32020	50540	18520	1	63%	18520	0.633557578	1	Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer
23886	23886	33178	9292	1	72%	9292	0.719934897	1	Aquaculture worker
