Abbreviation	Column	Economic Well-Being Rank	Education Rank	Family & Community Rank	Health Rank	Number of Records	Overall Rank (copy)	Overall Rank	Row	State (Hex Map)	State
AK	0.5	35	41	16	35	1	33	33	0	Alaska	Alaska
AL	7.5	46	48	43	42	1	46	46	6	Alabama	Alabama
AR	6	36	38	45	46	1	44	44	5	Arkansas	Arkansas
AZ	3	39	44	46	45	1	45	45	5	Arizona	Arizona
CA	2	47	35	41	11	1	36	36	5	California	California
CO	3.5	12	12	22	43	1	20	20	4	Colorado	Colorado
CT	11	16	3	11	2	1	5	5	3	Connecticut	Connecticut
DE	9.5	18	29	28	18	1	25	25	4	Delaware	Delaware
FL	8.5	44	30	35	47	1	40	40	8	Florida	Florida
GA	8	45	39	40	36	1	42	42	7	Georgia	Georgia
HI	0.5	32	33	12	8	1	23	23	8	Hawaii	Hawaii
IA	5	4	11	5	3	1	3	3	3	Iowa	Iowa
ID	2	14	37	13	30	1	22	22	3	Idaho	Idaho
IL	6	27	16	27	9	1	21	21	3	Illinois	Illinois
IN	7	24	23	32	31	1	30	30	3	Indiana	Indiana
KS	5	9	20	24	24	1	19	19	5	Kansas	Kansas
KY	6.5	38	27	37	16	1	35	35	4	Kentucky	Kentucky
LA	5.5	50	45	48	50	1	48	48	6	Louisiana	Louisiana
MA	10.5	11	1	8	4	1	2	2	2	Massachusetts	Massachusetts
MD	8.5	17	13	20	22	1	16	16	4	Maryland	Maryland
ME	11.5	23	15	9	20	1	17	17	0	Maine	Maine
MI	7.5	28	40	29	14	1	31	31	2	Michigan	Michigan
MN	4.5	3	6	4	1	1	1	1	2	Minnesota	Minnesota
MO	5.5	21	26	26	32	1	28	28	4	Missouri	Missouri
MS	6.5	49	47	50	49	1	50	50	6	Mississippi	Mississippi
MT	2.5	19	24	15	39	1	24	24	2	Montana	Montana
NC	9	30	28	36	33	1	34	34	5	North Carolina	North Carolina
ND	3.5	2	14	6	17	1	8	8	2	North Dakota	North Dakota
NE	4.5	5	8	21	21	1	9	9	4	Nebraska	Nebraska
NH	11	7	4	1	25	1	4	4	1	New Hampshire	New Hampshire
NJ	10	20	2	14	12	1	7	7	3	New Jersey	New Jersey
NM	3.5	48	50	49	44	1	49	49	6	New Mexico	New Mexico
NV	2.5	40	49	44	40	1	47	47	4	Nevada	Nevada
NY	9.5	43	19	34	7	1	29	29	2	New York	New York
OH	8	25	17	31	19	1	26	26	3	Ohio	Ohio
OK	4.5	29	42	38	34	1	37	37	6	Oklahoma	Oklahoma
OR	1.5	41	34	23	23	1	32	32	4	Oregon	Oregon
PA	9	22	10	25	13	1	18	18	3	Pennsylvania	Pennsylvania
RI	11.5	34	25	30	6	1	27	27	2	Rhode Island	Rhode Island
SC	8.5	37	43	42	37	1	41	41	6	South Carolina	South Carolina
SD	4	6	31	19	26	1	14	14	3	South Dakota	South Dakota
TN	7	42	36	39	28	1	38	38	5	Tennessee	Tennessee
TX	4	33	32	47	38	1	43	43	7	Texas	Texas
UT	4	8	21	2	27	1	10	10	5	Utah	Utah
VA	8	15	9	10	15	1	11	11	5	Virginia	Virginia
VT	10	10	5	3	10	1	6	6	1	Vermont	Vermont
WA	1.5	26	22	17	5	1	15	15	2	Washington	Washington
WI	5.5	13	7	18	29	1	13	13	2	Wisconsin	Wisconsin
WV	7.5	31	46	33	41	1	39	39	4	West Virginia	West Virginia
WY	3	1	18	7	48	1	12	12	3	Wyoming	Wyoming
